"Site","Feat","Obj","tsID","Depth","Wght","Sherds","QTY","Size","Type","Wall","Fabric","Shape","Decor","Comm"
"SNP-03","03 4","1","42","30-40","326.1","10","","200","R","9","8a","G_B4","",""
"SNP-03","03 4","2","","30-40","9.2","","","70","R","9.5","4b","R_B2","",""
"SNP-03","03 4","3","","30-40","12.4","","","70","W","8.5","4a","","horz Rille & Feld mit runden Eindrücken","Knickwandschale?"
"SNP-03","03 4","4","45","30-40","5.3","","","70","W","9.5","4a","","",""
"SNP-03","03 4","5","46","30-40","7.8","","","70","W","7","4a","","",""
"SNP-03","03 4","6","","30-40","2.3","","","70","W","5","1b","","stark erodiert!",""
"SNP-03","03 4","","","30-40","63.3","","7","70","W","","4/5/8","","",""
"SNP-03","03 4","","","30-40","58","","20","30","W","","4/5/8","","",""
"SNP-03","03","","","30-40","1.5","","","30","W","5.5","1a","","Kammeindrücke?","sponge spicules in RefLight Micr bestätigt"
"SNP-03","03","","","30-40","2","","","30","R","5","4a","R_B2","",""
"SNP-03","03","","","30-40","7.2","","4","30","W","","4/5/8","","",""
"SNP-01","01 7","1","43","60-70","55.9","8","","70","B","8.5","1d","B_B10","Rille? am Bodenansatz","cf Böden Bokuma Stil"
"SNP-03","03","","","40-50","33.6","","9","30","W","","4/5/8","","",""
"SNP-03","03 2","","","10-20","11.8","2","","70","W","9.5","8a","","",""
"SNP-03","03 2","","","10-20","4.2","","2","30","W","","4/5/8","","",""
"SNP-03","03","","","50-60","3.5","","2","30","W","","4/5/8","","",""
"SNP-03","03 7","1","44","60-70","22.9","","","70","R","10","8a","R_B2","Rille unterm Rand",""
"SNP-03","03 7","2","","60-70","8.3","","","70","R","6.5","4a","R_B2","",""
